도서관코드,시도,시군구,취약계층서비스이용수_합계,취약계층서비스이용수_장애인,취약계층서비스이용수_노인,취약계층서비스이용수_다문화,취약계층관련예산_합계,취약계층관련예산_장애인,취약계층관련예산_노인,취약계층관련예산_다문화,취약계층공간_장애인,취약계층공간_노인,취약계층공간_다문화,어린이실,어린이서비스_이용수,어린이자료_인쇄수
2060141257,경기,하남시,2207,326,1781,100,7100,1100,0,6000,자료실내 코너,자료실내 코너,자료실내 코너,유,258249,26808
2060141272,경기,하남시,3668,241,1028,2399,29830,0,26430,3400,자료실내 코너,자료실내 코너,자료실내 코너,유,15455,15256
2060146032,전남,순천시,567,12,243,312,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,2521,11055
20601110023,서울,양천구,1602,10,1462,130,1310,0,1310,0,미설치,자료실내 코너,미설치,무,31707,19125
2060141129,경기,파주시,3,0,3,0,0,0,0,0,미설치,미설치,미설치,유,2443,25532
2060124020,광주,남구,1225,0,1225,0,12455,0,8480,3975,자료실내 코너,자료실내 코너,자료실내 코너,유,3036,14400
2060141100,경기,가평군,2481,27,1311,1143,11700,0,0,11700,미설치,자료실내 코너,자료실내 코너,유,1652,20698
2060141083,경기,가평군,199,31,168,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,5985,24110
2060141143,경기,가평군,4732,218,2548,1966,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,5025,35130
2060141062,경기,고양시,1317,382,862,73,985,985,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,21809,57695
2060144003,충남,공주시,2798,93,2597,108,12774,1600,9048,2126,자료실내 코너,미설치,자료실내 코너,유,6028,47793
2060141039,경기,군포시,2,2,0,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,3181,42206
2060141040,경기,군포시,1,1,0,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,28802,40289
2060141146,경기,군포시,11,11,0,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,5320,42457
2060141038,경기,군포시,4230,0,4230,0,23008,0,23008,0,미설치,자료실내 코너,미설치,유,12497,72025
2060141088,경기,군포시,3884,475,2221,1188,20055,7600,7955,4500,자료실내 코너,자료실내 코너,자료실내 코너,유,58548,110813
2060141127,경기,파주시,5151,26,5073,52,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,36565,24288
2060124015,광주,남구,1592,367,1031,194,12583,0,5765,6818,자료실내 코너,자료실내 코너,자료실내 코너,유,3074,19510
2030141009,경기,성남시,0,0,0,0,0,0,0,0,미설치,미설치,미설치,무,1442,0
2060144012,충남,서산시,37,0,36,1,479,0,0,479,미설치,미설치,자료실내 코너,유,1941,27300
2060141286,경기,성남시,2198,2,966,1230,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,14061,8286
2060141230,경기,성남시,9725,5,8316,1404,120,0,0,120,별도 자료실,자료실내 코너,미설치,유,45868,41778
2060141243,경기,성남시,2543,6,2537,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,27061,22371
2060141233,경기,시흥시,725,250,350,125,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,14043,29556
2060144016,충남,아산시,780,75,554,151,4900,1920,1000,1980,자료실내 코너,자료실내 코너,자료실내 코너,유,5158,36456
2060144017,충남,아산시,255,166,77,12,5138,1920,1218,2000,자료실내 코너,자료실내 코너,자료실내 코너,유,39173,54541
2060144039,충남,아산시,5256,362,4366,528,48712,12765,11955,23992,자료실내 코너,자료실내 코너,자료실내 코너,유,22640,63715
2060141122,경기,안산시,705,33,645,27,0,0,0,0,미설치,미설치,미설치,유,1092,9609
2060141114,경기,안성시,8698,548,6623,1527,29966,2130,6149,21687,자료실내 코너,자료실내 코너,자료실내 코너,유,74960,75187
2060141049,경기,안성시,4044,120,3612,312,10387,0,9587,800,자료실내 코너,자료실내 코너,자료실내 코너,유,40806,32800
2060141251,경기,안성시,3955,52,3695,208,27319,0,3399,23920,자료실내 코너,자료실내 코너,자료실내 코너,유,16450,40970
2060141185,경기,안성시,3067,0,3067,0,1324,0,1124,200,자료실내 코너,자료실내 코너,자료실내 코너,유,1895,14901
2060141091,경기,안성시,10307,435,9600,272,86860,5480,41090,40290,자료실내 코너,자료실내 코너,자료실내 코너,유,55689,164718
2060141159,경기,안성시,1932,0,1908,24,7729,0,3849,3880,자료실내 코너,자료실내 코너,자료실내 코너,유,94960,50861
2060141099,경기,양주시,96,0,96,0,0,0,0,0,미설치,미설치,미설치,유,2811,22359
2060141084,경기,연천군,0,0,0,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,15285,42935
2060146047,전남,영암군,7,0,7,0,8000,0,8000,0,자료실내 코너,자료실내 코너,미설치,유,6454,1787
2060141097,경기,오산시,6604,364,5200,1040,12229,0,4697,7532,자료실내 코너,별도 자료실,자료실내 코너,유,111663,98860
2060141053,경기,오산시,377,3,279,95,1454,0,1454,0,자료실내 코너,자료실내 코너,자료실내 코너,유,1506,17434
2060141118,경기,용인시,10804,2176,8386,242,4314,2885,981,448,자료실내 코너,자료실내 코너,자료실내 코너,유,191606,66323
2060141098,경기,용인시,7415,1810,5322,283,3623,1919,1249,455,자료실내 코너,자료실내 코너,자료실내 코너,유,182849,68020
2060141138,경기,용인시,2414,1147,1069,198,3366,1864,1054,448,자료실내 코너,자료실내 코너,자료실내 코너,유,47238,59834
2060141190,경기,용인시,4201,1030,3016,155,4301,1889,1972,440,자료실내 코너,자료실내 코너,자료실내 코너,유,141958,53014
2060141161,경기,용인시,3400,991,2246,163,3344,1898,998,448,자료실내 코너,자료실내 코너,자료실내 코너,유,142270,61995
2060131001,울산,북구,378,7,371,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,25465,24835
2060145043,전북,익산시,3870,320,3200,350,14370,14370,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,45340,13346
2060148031,경남,창녕군,350,90,210,50,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,500,28736
2060141101,경기,하남시,27598,673,20194,6731,2000,0,0,2000,자료실내 코너,자료실내 코너,자료실내 코너,유,173864,87564
2060141198,경기,하남시,350,0,0,350,6900,0,0,6900,자료실내 코너,미설치,자료실내 코너,유,2506,11472
2060111063,서울,강동구,33743,1597,997,31149,7216,3010,2085,2121,자료실내 코너,자료실내 코너,자료실내 코너,유,127550,50762
20601110045,서울,강동구,2273,35,2122,116,3132,550,1611,971,자료실내 코너,자료실내 코너,자료실내 코너,유,9695,16316
2060111031,서울,강동구,1711,394,1199,118,17513,5560,6790,5163,자료실내 코너,자료실내 코너,자료실내 코너,유,10996,40265
2060111066,서울,강동구,14958,254,9463,5241,9073,1141,1501,6431,자료실내 코너,자료실내 코너,별도 자료실,유,81608,40723
20601110012,서울,강동구,615,42,527,46,4990,2500,1490,1000,자료실내 코너,자료실내 코너,자료실내 코너,유,2944,27354
2060111046,서울,강동구,12535,351,11689,495,6247,958,2901,2388,자료실내 코너,자료실내 코너,자료실내 코너,유,171050,34855
2060142008,강원,강릉시,1598,0,1257,341,4600,0,4600,0,자료실내 코너,자료실내 코너,자료실내 코너,유,4082,33763
2060111005,서울,강북구,24512,1720,21268,1524,22361,4296,2282,15783,자료실내 코너,미설치,미설치,유,21693,80924
2060148035,경남,거제시,16,16,0,0,630,630,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,11200,30479
2060148042,경남,거제시,320,4,268,48,1500,0,1500,0,미설치,미설치,미설치,유,37000,15141
2060148025,경남,거제시,1615,32,1583,0,0,0,0,0,자료실내 코너,미설치,미설치,유,9741,28079
2060148029,경남,거제시,236,104,132,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,6461,34428
2060148037,경남,거제시,541,4,537,0,0,0,0,0,자료실내 코너,미설치,미설치,유,4532,24874
2060147036,경북,경산시,1830,11,1219,600,0,0,0,0,미설치,자료실내 코너,자료실내 코너,유,44269,50774
2060141196,경기,고양시,1028,132,896,0,985,985,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,19806,36549
2060141275,경기,고양시,5684,48,5636,0,985,985,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,10217,19668
2060141086,경기,고양시,1827,271,1556,0,985,985,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,34294,53149
2060141135,경기,고양시,1131,56,793,282,1045,0,1045,0,자료실내 코너,미설치,별도 자료실,유,21290,33869
2060141060,경기,고양시,6239,76,6143,20,985,985,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,31821,55322
2060141061,경기,고양시,5557,82,5475,0,985,985,0,0,자료실내 코너,별도 자료실,미설치,유,7729,24528
2060141176,경기,고양시,188,188,0,0,985,985,0,0,자료실내 코너,자료실내 코너,미설치,유,34040,36772
2060141136,경기,고양시,8976,79,2976,5921,10005,985,5120,3900,자료실내 코너,자료실내 코너,자료실내 코너,유,30288,34309
2060141064,경기,고양시,0,0,0,0,0,0,0,0,미설치,미설치,미설치,유,0,34800
2060141250,경기,고양시,72,70,2,0,2453,985,532,936,자료실내 코너,미설치,미설치,유,19611,21110
2060141094,경기,고양시,23,23,0,0,958,958,0,0,자료실내 코너,자료실내 코너,미설치,유,40697,42194
2060141087,경기,고양시,142,130,12,0,985,985,0,0,자료실내 코너,자료실내 코너,미설치,유,28839,59496
2060141063,경기,고양시,158,158,0,0,985,985,0,0,자료실내 코너,자료실내 코너,미설치,유,17058,44704
2060145026,전북,고창군,248,0,118,130,2515,0,0,2515,미설치,미설치,자료실내 코너,유,1705,13178
2060146015,전남,고흥군,38563,7511,28729,2323,11235,3745,3745,3745,자료실내 코너,자료실내 코너,미설치,유,1283,12149
2060146034,전남,고흥군,22,10,12,0,5000,0,5000,0,자료실내 코너,자료실내 코너,자료실내 코너,유,9246,18045
2060124011,광주,북구,12446,696,11634,116,15259,1642,9582,4035,미설치,자료실내 코너,자료실내 코너,유,23225,47214
2060124005,광주,북구,2025,69,1949,7,7558,283,3298,3977,별도 자료실,자료실내 코너,자료실내 코너,유,5264,51266
2060141048,경기,광주시,19981,4508,14753,720,20626,2516,4915,13195,별도 자료실,자료실내 코너,자료실내 코너,유,31429,116693
2060141111,경기,구리시,13667,770,8663,4234,9800,0,800,9000,자료실내 코너,자료실내 코너,자료실내 코너,유,12724,75282
2060111055,서울,은평구,8229,1031,2399,4799,9233,7154,64,2015,자료실내 코너,자료실내 코너,자료실내 코너,무,62689,18025
2060111040,서울,은평구,8018,228,7084,706,2291,1071,650,570,자료실내 코너,자료실내 코너,자료실내 코너,유,119407,33073
2060147014,경북,구미시,4539,525,3645,369,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,75456,75731
2060147047,경북,구미시,138,28,80,30,0,0,0,0,자료실내 코너,미설치,미설치,유,600,21323
2060147013,경북,구미시,4045,280,3750,15,720,0,720,0,미설치,자료실내 코너,자료실내 코너,유,30080,39155
